split,train_start,train_end,test_start,test_end,best_params,train_score,strategy_return,benchmark_return,beat_benchmark
0,2021-08-18,2023-01-25,2023-01-26,2023-10-12,"{'fast': 10, 'long': 180}",11.422201407687625,0.13207577860674924,0.16057950897891904,False
1,2021-08-18,2023-10-12,2023-10-13,2024-06-28,"{'fast': 10, 'long': 200}",27.61582394383555,1.0133907593392344,1.2542607265660037,False
2,2021-08-18,2024-06-28,2024-06-29,2025-03-15,"{'fast': 10, 'long': 200}",156.94052067398107,-0.059493792468325535,0.39844151537760086,False
3,2021-08-18,2025-03-15,2025-03-16,2025-11-30,"{'fast': 15, 'long': 220}",183.8207928483998,0.033832501181775276,0.0715496698163538,False
4,2021-08-18,2025-11-30,2025-12-01,2026-08-17,"{'fast': 15, 'long': 150}",194.60619897903032,-0.09616347960117533,-0.30141753889048706,True
