fast,slow,total_return_pct,sharpe_ratio,max_drawdown_pct,trades
25,30,193.84030294460254,0.7804971816340531,-31.158194153926377,49
15,220,193.4231601578557,0.8133581954455037,-26.38355425343538,4
10,220,192.92354428923846,0.811832885365993,-29.834465338731263,6
5,150,183.38742573515557,0.8298093555109073,-27.260496594395967,11
20,180,179.64368144195444,0.7972130955925233,-37.33635073255967,7
30,180,179.45553973443026,0.8107047468103514,-26.01636735193572,4
20,200,178.85753926726895,0.7932361440147467,-26.130660138674333,4
15,200,172.25959878590555,0.7770419098527681,-36.02161285207478,5
40,180,171.0812773502945,0.7894006707877353,-26.01636735193574,4
10,150,168.82052635898472,0.786243813332278,-29.677510716275858,8
25,200,166.89121641351085,0.7617147398255212,-26.130660138674255,4
15,150,166.2758417731306,0.7794783782902218,-34.348791632649665,7
20,220,161.31518293755715,0.7443762543205886,-26.30516344426621,4
5,200,160.69371220990305,0.7551085287353149,-41.54158898736502,7
5,180,155.31792510671028,0.7466498090977862,-34.9841007256847,8
5,220,154.01991846606734,0.730363822521748,-39.19424491858384,10
10,180,153.3937959254582,0.7406679249440914,-40.77735712625537,7
30,200,149.4293523144788,0.7216757701234152,-26.130660138674276,4
5,100,147.47228941606127,0.7427639804731154,-30.00706718642635,13
25,180,144.4045225799531,0.71918541621317,-35.50530723878501,6
10,200,144.3503449047154,0.7125860804318818,-38.70282037519354,7
25,220,144.3144786902683,0.7034740326862828,-28.062508967340914,4
20,150,143.17249703803085,0.7209748338969375,-29.99576840235183,7
30,220,142.9937246933623,0.6990225971607406,-27.598255798430372,4
40,200,142.30800734373724,0.705335734421256,-26.130660138674276,4
50,180,140.29833474007657,0.7132396684173741,-27.30824792583393,4
25,100,135.65575553396738,0.714679548071893,-35.79821075345133,10
15,180,122.72254109742953,0.6612146717658871,-40.46711931343806,7
40,220,105.1980515028541,0.5954373155230354,-29.07962972135395,4
15,100,99.75684651094721,0.6021326140922776,-36.5223271642082,11
25,150,96.72815738274636,0.5903383890058855,-40.938498883421005,5
50,220,90.40714107808937,0.5494934721270495,-33.841035918489524,4
40,150,88.96517414845519,0.561389299979933,-38.56167670250468,5
50,200,85.85027719483136,0.5413901436073372,-37.378872139223795,4
50,150,85.04773784739945,0.5463601731624211,-43.635781495637694,5
20,100,84.9020509927633,0.5505510805291066,-40.47528819244132,10
5,50,80.89047630057131,0.5295331361106415,-49.30686594320293,26
30,150,78.74139867210346,0.5273829470740719,-38.59395479101255,5
30,100,71.76063480061534,0.5081023755143613,-34.94589809028202,9
10,100,71.35123980100595,0.5000740829805965,-38.659495354943274,12
10,50,68.40545830762365,0.47830042283471325,-49.078916527179715,23
50,75,58.34100580717101,0.4425218993998913,-46.93164330484644,13
5,75,54.1262966156488,0.4332601442198989,-41.8865848922074,21
10,75,46.14903592700823,0.3965277568657144,-45.637689462202715,16
40,75,45.04594849558315,0.3900796437793818,-43.060663049800254,13
15,75,33.76533704680578,0.34139181259678764,-42.77825897767931,15
40,100,33.56246376956955,0.3415306948007681,-35.78132345939265,8
10,30,30.53718342179627,0.32654433731461957,-55.787673788821124,38
25,75,27.243972792630284,0.31039499383075186,-49.76394110848679,14
50,100,23.90850759996036,0.29313698098879487,-42.81656429137095,9
5,30,22.2290430235659,0.2882564878201383,-65.32693895575102,45
5,20,19.627973359119768,0.27510318364035435,-63.3403520565099,54
25,50,16.510745471088757,0.2623261993637564,-53.02751120058862,22
15,50,16.46687952700082,0.2586507334622087,-56.427703628008544,24
40,50,13.013289376629237,0.24585421020802956,-50.1582526872811,28
20,30,12.548739918141838,0.2421816719821427,-52.13762793439108,38
30,75,0.07064635748825822,0.16239449458105162,-52.98453989778228,15
30,50,-0.1000675369497003,0.18062423300978958,-54.21574527952265,23
15,30,-0.3896853965412811,0.17179882139823688,-61.75611997244452,35
20,75,-1.6364760613257021,0.15218704926461996,-49.45286160251785,15
10,20,-2.412353448650847,0.1596867912065448,-66.91542674363508,49
20,50,-7.485815596477387,0.12699280509998956,-58.7934029027066,24
15,20,-28.404286439413518,-0.012505607205199618,-69.85801571410694,60
